4,4
8,117
9,2
10,6
11,5
12,4
13,5
19,3
20,4
21,3
27,4
28,2
29,6
33,4
35,145
38,2
39,3
40,2
41,2
42,4
47,3
48,146
50,5
59,5
60,10
66,4
74,3
77,6
85,4
88,5
92,2
96,144
97,4
98,10
100,4
101,5
112,5
116,5
131,4
133,4
145,5
153,2
160,2
169,117
177,5
244,4
258,5
281,4
288,10
290,4
297,2
324,144
446,5
447,3
505,2
507,2
519,5
548,2
566,5
668,6
731,2
753,146
763,5
791,4
832,145
875,5
896,4
906,2
914,2
933,5
1052,5
1055,5
1176,4
1180,5
1186,3
1200,5
1208,117
1260,6
1266,12
1279,4
1456,4
1468,4
1486,4
1705,6
1714,6
1800,3
1803,12
1804,146
1805,12
1819,146
1942,9
2012,11
2233,2
2238,2
2279,5
2376,5
2447,5
2452,5
2456,2
2459,145
2462,145
2463,145
2600,5
2734,146
2842,4
4993,145
6057,5
7646,2
7647,2
7652,2
7792,3
7911,6
7969,6
8223,146
8344,5
8355,146
8366,144
8439,144
8464,4
8467,4
8474,2
8510,185
8511,144
8513,144
8827,146
9081,4
9247,145
9417,144
9430,144
9435,144
9462,144
9464,144
9473,144
9481,144
9482,144
9486,144
9488,144
9535,144
9537,144
9550,144
9554,144
9557,144
9562,144
9738,5
