4 4 "derecha" "blue"
8 117 "derecha" "blue"
9 2 "centro" "green"
10 6 "izquierda" "red"
11 5 "centro" "green"
12 4 "derecha" "blue"
13 5 "centro" "green"
19 3 "centro" "green"
20 4 "derecha" "blue"
21 3 "centro" "green"
27 4 "derecha" "blue"
28 2 "centro" "green"
29 6 "izquierda" "red"
33 4 "derecha" "blue"
35 145 "centro" "green"
38 2 "centro" "green"
39 3 "centro" "green"
40 2 "centro" "green"
41 2 "centro" "green"
42 4 "derecha" "blue"
47 3 "centro" "green"
48 146 "izquierda" "red"
50 5 "centro" "green"
59 5 "centro" "green"
60 10 "centro" "green"
66 4 "derecha" "blue"
74 3 "centro" "green"
77 6 "izquierda" "red"
85 4 "derecha" "blue"
88 5 "centro" "green"
92 2 "centro" "green"
96 144 "derecha" "blue"
97 4 "derecha" "blue"
98 10 "centro" "green"
100 4 "derecha" "blue"
101 5 "centro" "green"
106 NA "otro" "pink"
112 5 "centro" "green"
116 5 "centro" "green"
122 NA "otro" "pink"
131 4 "derecha" "blue"
133 4 "derecha" "blue"
145 5 "centro" "green"
153 2 "centro" "green"
160 2 "centro" "green"
169 117 "derecha" "blue"
177 5 "centro" "green"
183 NA "otro" "pink"
244 4 "derecha" "blue"
251 NA "otro" "pink"
258 5 "centro" "green"
281 4 "derecha" "blue"
288 10 "centro" "green"
290 4 "derecha" "blue"
297 2 "centro" "green"
318 NA "otro" "pink"
324 144 "derecha" "blue"
446 5 "centro" "green"
447 3 "centro" "green"
505 2 "centro" "green"
507 2 "centro" "green"
519 5 "centro" "green"
548 2 "centro" "green"
566 5 "centro" "green"
668 6 "izquierda" "red"
731 2 "centro" "green"
753 146 "izquierda" "red"
763 5 "centro" "green"
791 4 "derecha" "blue"
832 145 "centro" "green"
875 5 "centro" "green"
896 4 "derecha" "blue"
906 2 "centro" "green"
914 2 "centro" "green"
933 5 "centro" "green"
997 NA "otro" "pink"
1052 5 "centro" "green"
1055 5 "centro" "green"
1176 4 "derecha" "blue"
1178 NA "otro" "pink"
1180 5 "centro" "green"
1186 3 "centro" "green"
1200 5 "centro" "green"
1208 117 "derecha" "blue"
1260 6 "izquierda" "red"
1266 12 "izquierda" "red"
1279 4 "derecha" "blue"
1456 4 "derecha" "blue"
1468 4 "derecha" "blue"
1486 4 "derecha" "blue"
1513 NA "otro" "pink"
1527 NA "otro" "pink"
1531 NA "otro" "pink"
1705 6 "izquierda" "red"
1714 6 "izquierda" "red"
1800 3 "centro" "green"
1803 12 "izquierda" "red"
1804 146 "izquierda" "red"
1805 12 "izquierda" "red"
1819 146 "izquierda" "red"
1942 9 "otro" "pink"
2012 11 "otro" "pink"
2233 2 "centro" "green"
2238 2 "centro" "green"
2279 5 "centro" "green"
2376 5 "centro" "green"
2395 NA "otro" "pink"
2447 5 "centro" "green"
2452 5 "centro" "green"
2456 2 "centro" "green"
2459 145 "centro" "green"
2462 145 "centro" "green"
2463 145 "centro" "green"
2494 NA "otro" "pink"
2600 5 "centro" "green"
2734 146 "izquierda" "red"
2842 4 "derecha" "blue"
4993 145 "centro" "green"
6057 5 "centro" "green"
7646 2 "centro" "green"
7647 2 "centro" "green"
7652 2 "centro" "green"
7792 3 "centro" "green"
7911 6 "izquierda" "red"
7969 6 "izquierda" "red"
8223 146 "izquierda" "red"
8344 5 "centro" "green"
8355 146 "izquierda" "red"
8366 144 "derecha" "blue"
8439 144 "derecha" "blue"
8464 4 "derecha" "blue"
8467 4 "derecha" "blue"
8474 2 "centro" "green"
8510 185 "otro" "pink"
8511 144 "derecha" "blue"
8513 144 "derecha" "blue"
8827 146 "izquierda" "red"
9081 4 "derecha" "blue"
9247 145 "centro" "green"
9417 144 "derecha" "blue"
9430 144 "derecha" "blue"
9435 144 "derecha" "blue"
9462 144 "derecha" "blue"
9464 144 "derecha" "blue"
9473 144 "derecha" "blue"
9481 144 "derecha" "blue"
9482 144 "derecha" "blue"
9486 144 "derecha" "blue"
9488 144 "derecha" "blue"
9535 144 "derecha" "blue"
9537 144 "derecha" "blue"
9550 144 "derecha" "blue"
9554 144 "derecha" "blue"
9557 144 "derecha" "blue"
9562 144 "derecha" "blue"
9738 5 "centro" "green"
